,,,2021q2,2021q4,2021q3,2022q2,2022q4,2022q3,2021q1,2022q1
ADVANCED MICRO DEVICES INC,CF,PaymentsToAcquirePropertyPlantAndEquipment,66000000.0,215000000.0,130000000.0,71000000.0,326000000.0,203000000.0,294000000.0,301000000.0
ADVANCED MICRO DEVICES INC,CF,NetCashProvidedByUsedInFinancingActivities,-8000000.0,-1168000000.0,-219000000.0,-1948000000.0,-3067000000.0,-1834000000.0,6000000.0,-1895000000.0
ADVANCED MICRO DEVICES INC,CF,NetCashProvidedByUsedInInvestingActivities,-722000000.0,-686000000.0,-603000000.0,3158000000.0,932000000.0,2230000000.0,-952000000.0,-686000000.0
ADVANCED MICRO DEVICES INC,CF,CapitalExpendituresIncurredButNotYetPaid,34000000.0,74000000.0,41000000.0,67000000.0,122000000.0,149000000.0,31000000.0,72000000.0
ADVANCED MICRO DEVICES INC,CF,AmortizationOfFinancingCostsAndDiscounts,2000000.0,4000000.0,3000000.0,,,,14000000.0,5000000.0
ADVANCED MICRO DEVICES INC,CF,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,168000000.0,845000000.0,1028000000.0,2205000000.0,863000000.0,2429000000.0,125000000.0,940000000.0
ADVANCED MICRO DEVICES INC,CF,ImpairmentOfInvestments,8000000.0,,8000000.0,,,,,
ADVANCED MICRO DEVICES INC,CF,RestrictedCashCurrent,0.0,0.0,0.0,,,,0.0,0.0
ADVANCED MICRO DEVICES INC,CF,GainsLossesOnExtinguishmentOfDebt,-6000000.0,-7000000.0,-6000000.0,0.0,0.0,0.0,-54000000.0,-7000000.0
ADVANCED MICRO DEVICES INC,IS,IncomeTaxExpenseBenefit,89000000.0,82000000.0,113000000.0,113000000.0,-135000000.0,54000000.0,-1210000000.0,513000000.0
ADVANCED MICRO DEVICES INC,IS,ResearchAndDevelopmentExpense,610000000.0,765000000.0,659000000.0,1060000000.0,1279000000.0,1300000000.0,1983000000.0,2845000000.0
ADVANCED MICRO DEVICES INC,IS,SellingGeneralAndAdministrativeExpense,319000000.0,376000000.0,341000000.0,597000000.0,557000000.0,592000000.0,995000000.0,1448000000.0
ADVANCED MICRO DEVICES INC,IS,CostOfGoodsAndServicesSold,1858000000.0,2227000000.0,2020000000.0,3069000000.0,3211000000.0,3522000000.0,5416000000.0,8505000000.0
ADVANCED MICRO DEVICES INC,IS,IncomeLossFromEquityMethodInvestments,2000000.0,2000000.0,2000000.0,3000000.0,4000000.0,4000000.0,5000000.0,6000000.0
ADVANCED MICRO DEVICES INC,IS,WeightedAverageNumberOfSharesOutstandingBasic,1213000000.0,1214000000.0,1216000000.0,1393000000.0,1542000000.0,1618000000.0,1184000000.0,1213000000.0
ADVANCED MICRO DEVICES INC,IS,WeightedAverageNumberOfDilutedSharesOutstanding,1231000000.0,1231000000.0,1232000000.0,1410000000.0,1555000000.0,1632000000.0,1207000000.0,1229000000.0
ADVANCED MICRO DEVICES INC,IS,EarningsPerShareDiluted,0.45,0.75,0.58,0.56,0.84,0.27,2.06,2.57
ADVANCED MICRO DEVICES INC,IS,GrossProfit,1587000000.0,2086000000.0,1830000000.0,2818000000.0,2354000000.0,3028000000.0,1451000000.0,7929000000.0
ADVANCED MICRO DEVICES INC,IS,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,642000000.0,1003000000.0,821000000.0,896000000.0,-73000000.0,497000000.0,1275000000.0,3669000000.0
ADVANCED MICRO DEVICES INC,IS,NetIncomeLoss,555000000.0,923000000.0,710000000.0,786000000.0,66000000.0,447000000.0,1781000000.0,3162000000.0
ADVANCED MICRO DEVICES INC,IS,EarningsPerShareBasic,0.46,0.76,0.58,0.56,0.84,0.28,2.1,2.61
ADVANCED MICRO DEVICES INC,IS,OperatingIncomeLoss,662000000.0,948000000.0,831000000.0,951000000.0,1413000000.0,526000000.0,1369000000.0,3648000000.0
ADVANCED MICRO DEVICES INC,IS,GainOnLicensingAgreement,4000000.0,3000000.0,1000000.0,83000000.0,8000000.0,6000000.0,,
ADVANCED MICRO DEVICES INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,3445000000.0,4313000000.0,3850000000.0,5887000000.0,5565000000.0,6550000000.0,9763000000.0,16434000000.0
ADVANCED MICRO DEVICES INC,IS,OtherNonoperatingIncomeExpense,-11000000.0,62000000.0,0.0,-42000000.0,22000000.0,-4000000.0,-47000000.0,55000000.0
ADVANCED MICRO DEVICES INC,IS,InterestExpense,9000000.0,7000000.0,10000000.0,13000000.0,31000000.0,25000000.0,9000000.0,34000000.0
ADVANCED MICRO DEVICES INC,CI,OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationAndTax,-11000000.0,-7000000.0,1000000.0,,,,17000000.0,-20000000.0
ADVANCED MICRO DEVICES INC,CI,NetIncomeLoss,555000000.0,923000000.0,710000000.0,786000000.0,66000000.0,447000000.0,1781000000.0,3162000000.0
ADVANCED MICRO DEVICES INC,CI,ComprehensiveIncomeNetOfTax,544000000.0,916000000.0,711000000.0,787000000.0,11000000.0,416000000.0,2507000000.0,3142000000.0
ALPHABET INC.,BS,LiabilitiesCurrent,55453000000.0,61782000000.0,55741000000.0,61948000000.0,65979000000.0,61354000000.0,56834000000.0,64254000000.0
ALPHABET INC.,BS,DeferredIncomeTaxLiabilitiesNet,4406000000.0,3551000000.0,4703000000.0,2843000000.0,476000000.0,924000000.0,3561000000.0,5257000000.0
ALPHABET INC.,BS,PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,87606000000.0,94631000000.0,91697000000.0,104218000000.0,108363000000.0,106223000000.0,,
ALPHABET INC.,BS,PreferredStockSharesIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALPHABET INC.,BS,CommonStockSharesIssued,671094000.0,664682000.0,667637000.0,658763000.0,12971000000.0,13078000000.0,675222000.0,662121000.0
ALPHABET INC.,BS,CommitmentsAndContingencies,,,,,,,,
ALPHABET INC.,BS,ConvertiblePreferredStockNonredeemableOrRedeemableIssuerOptionValue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALPHABET INC.,BS,OtherAssetsCurrent,7646000000.0,6029000000.0,6076000000.0,6892000000.0,10518000000.0,8321000000.0,5490000000.0,7054000000.0
ALPHABET INC.,BS,AccruedIncomeTaxesNoncurrent,9278000000.0,8984000000.0,8651000000.0,9406000000.0,8572000000.0,8163000000.0,8849000000.0,9176000000.0
ALPHABET INC.,BS,OtherLongTermInvestments,25294000000.0,26101000000.0,25532000000.0,30544000000.0,30419000000.0,30665000000.0,20703000000.0,29549000000.0
ALPHABET INC.,BS,ContractWithCustomerLiabilityNoncurrent,530000000.0,510000000.0,510000000.0,499000000.0,594000000.0,472000000.0,481000000.0,535000000.0
ALPHABET INC.,BS,CashCashEquivalentsAndShortTermInvestments,135104000000.0,142003000000.0,135863000000.0,133970000000.0,116259000000.0,124997000000.0,136694000000.0,139649000000.0
ALPHABET INC.,BS,IntangibleAssetsNetExcludingGoodwill,1823000000.0,1549000000.0,1626000000.0,1313000000.0,2192000000.0,1377000000.0,1445000000.0,1417000000.0
ALPHABET INC.,BS,Liabilities,97082000000.0,102836000000.0,97822000000.0,103092000000.0,104629000000.0,99766000000.0,97072000000.0,107633000000.0
ALPHABET INC.,BS,AccruedRevenueShare,6962000000.0,7745000000.0,7438000000.0,8116000000.0,7662000000.0,7889000000.0,7500000000.0,8996000000.0
ALPHABET INC.,BS,EmployeeRelatedLiabilitiesCurrent,8375000000.0,12170000000.0,10088000000.0,9803000000.0,12366000000.0,10852000000.0,11086000000.0,13889000000.0
ALPHABET INC.,BS,Goodwill,22341000000.0,22623000000.0,22406000000.0,23010000000.0,28834000000.0,23949000000.0,21175000000.0,22956000000.0
ALPHABET INC.,BS,PreferredStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ALPHABET INC.,BS,AccruedLiabilitiesCurrent,30732000000.0,30113000000.0,28981000000.0,33051000000.0,35038000000.0,32976000000.0,28631000000.0,31236000000.0
ALPHABET INC.,BS,StockholdersEquity,230013000000.0,244567000000.0,237565000000.0,254004000000.0,253626000000.0,255419000000.0,222544000000.0,251635000000.0
ALPHABET INC.,BS,LiabilitiesAndStockholdersEquity,327095000000.0,347403000000.0,335387000000.0,357096000000.0,358255000000.0,355185000000.0,319616000000.0,359268000000.0
ALPHABET INC.,BS,PreferredStockSharesAuthorized,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0
ALPHABET INC.,BS,CashAndCashEquivalentsAtCarryingValue,26622000000.0,23719000000.0,23630000000.0,20886000000.0,21984000000.0,17936000000.0,26465000000.0,20945000000.0
ALPHABET INC.,BS,LongTermDebtAndCapitalLeaseObligations,13887000000.0,14288000000.0,14328000000.0,14791000000.0,14653000000.0,14734000000.0,13932000000.0,14817000000.0
ALPHABET INC.,BS,OtherLiabilitiesNoncurrent,2146000000.0,2250000000.0,2270000000.0,2242000000.0,2371000000.0,2422000000.0,2269000000.0,2205000000.0
ALPHABET INC.,BS,PreferredStockSharesOutstanding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALPHABET INC.,BS,AssetsCurrent,172137000000.0,184110000000.0,175697000000.0,177853000000.0,166109000000.0,172371000000.0,174296000000.0,188143000000.0
ALPHABET INC.,BS,ContractWithCustomerLiabilityCurrent,2690000000.0,2968000000.0,2715000000.0,3198000000.0,3585000000.0,3272000000.0,2543000000.0,3288000000.0
ALPHABET INC.,BS,AccountsPayableCurrent,4801000000.0,4616000000.0,4708000000.0,3436000000.0,6303000000.0,4409000000.0,5589000000.0,6037000000.0
ALPHABET INC.,BS,InventoryNet,888000000.0,1278000000.0,907000000.0,1369000000.0,3156000000.0,1980000000.0,728000000.0,1170000000.0
ALPHABET INC.,BS,Assets,327095000000.0,347403000000.0,335387000000.0,357096000000.0,358255000000.0,355185000000.0,319616000000.0,359268000000.0
ALPHABET INC.,BS,CommonStockSharesOutstanding,671094000.0,664682000.0,667637000.0,658763000.0,12971000000.0,13078000000.0,675222000.0,662121000.0
ALPHABET INC.,BS,DeferredIncomeTaxAssetsNet,1129000000.0,1195000000.0,1153000000.0,1388000000.0,2991000000.0,1490000000.0,1084000000.0,1284000000.0
ALPHABET INC.,BS,AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3000000.0,-408000000.0,190000000.0,-4049000000.0,-8852000000.0,-5828000000.0,633000000.0,-1623000000.0
ALPHABET INC.,BS,MarketableSecuritiesCurrent,108482000000.0,118284000000.0,112233000000.0,113084000000.0,94275000000.0,107061000000.0,110229000000.0,118704000000.0
ALPHABET INC.,BS,OperatingLeaseLiabilityNoncurrent,11382000000.0,11471000000.0,11619000000.0,11363000000.0,11984000000.0,11697000000.0,11146000000.0,11389000000.0
ALPHABET INC.,BS,CommonStockParOrStatedValuePerShare,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
ALPHABET INC.,BS,OtherAssetsNoncurrent,4167000000.0,4276000000.0,4298000000.0,5778000000.0,5670000000.0,5712000000.0,3953000000.0,5361000000.0
ALPHABET INC.,BS,AccruedIncomeTaxesCurrent,1893000000.0,4170000000.0,1811000000.0,4344000000.0,1025000000.0,1956000000.0,1485000000.0,808000000.0
ALPHABET INC.,BS,IncomeTaxesReceivable,493000000.0,753000000.0,884000000.0,919000000.0,1479000000.0,1366000000.0,454000000.0,966000000.0
ALPHABET INC.,BS,RetainedEarningsAccumulatedDeficit,170580000000.0,183782000000.0,176939000000.0,195221000000.0,196220000000.0,196845000000.0,163401000000.0,191484000000.0
ALPHABET INC.,BS,AccountsReceivableNetCurrent,28006000000.0,34047000000.0,31967000000.0,34703000000.0,34697000000.0,35707000000.0,30930000000.0,39304000000.0
ALPHABET INC.,BS,CommonStockSharesAuthorized,15000000000.0,15000000000.0,15000000000.0,15000000000.0,300000000000.0,300000000000.0,15000000000.0,15000000000.0
ALPHABET INC.,BS,OperatingLeaseRightOfUseAsset,12598000000.0,12918000000.0,12978000000.0,12992000000.0,13677000000.0,13398000000.0,12211000000.0,12959000000.0
ALPHABET INC.,BS,CommonStocksIncludingAdditionalPaidInCapital,59436000000.0,61193000000.0,60436000000.0,62832000000.0,66258000000.0,64402000000.0,58510000000.0,61774000000.0
ALPHABET INC.,EQ,StockRepurchasedAndRetiredDuringPeriodValue,11395000000.0,12610000000.0,12796000000.0,13300000000.0,15392000000.0,15197000000.0,31149000000.0,50274000000.0
ALPHABET INC.,EQ,NoncontrollingInterestIncreaseFromSaleOfParentEquityInterest,10000000.0,0.0,300000000.0,10000000.0,10000000.0,300000000.0,2795000000.0,310000000.0
ALPHABET INC.,EQ,StockIssuedDuringPeriodValueNewIssues,6000000.0,1000000.0,1000000.0,7000000.0,8000000.0,1000000.0,168000000.0,12000000.0
ALPHABET INC.,EQ,StockholdersEquity,230013000000.0,244567000000.0,237565000000.0,254004000000.0,253626000000.0,255419000000.0,222544000000.0,251635000000.0
ALPHABET INC.,EQ,NetIncomeLoss,17930000000.0,18936000000.0,18525000000.0,16436000000.0,46348000000.0,16002000000.0,40269000000.0,76033000000.0
ALPHABET INC.,EQ,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,2234000000.0,,,,,,,
ALPHABET INC.,EQ,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,3788000000.0,3914000000.0,7632000000.0,4547000000.0,5018000000.0,4823000000.0,13123000000.0,15539000000.0
ALPHABET INC.,EQ,OtherComprehensiveIncomeLossNetOfTax,-636000000.0,-598000000.0,-443000000.0,-2426000000.0,-3024000000.0,-1779000000.0,1865000000.0,-2256000000.0
ALPHABET INC.,CF,IncreaseDecreaseInAccruedRevenueShare,-444000000.0,386000000.0,29000000.0,-828000000.0,-1022000000.0,-942000000.0,1639000000.0,1682000000.0
ALPHABET INC.,CF,OtherNoncashIncomeExpense,255000000.0,199000000.0,263000000.0,-140000000.0,-369000000.0,-202000000.0,-1267000000.0,213000000.0
ALPHABET INC.,CF,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,26622000000.0,23719000000.0,23630000000.0,20886000000.0,21984000000.0,17936000000.0,26465000000.0,20945000000.0
ALPHABET INC.,CF,IncreaseDecreaseInIncomeTaxes,785000000.0,2744000000.0,-297000000.0,3820000000.0,-862000000.0,-253000000.0,1209000000.0,-625000000.0
ALPHABET INC.,CF,DeferredIncomeTaxesAndTaxCredits,1100000000.0,192000000.0,1479000000.0,-2090000000.0,-6157000000.0,-4237000000.0,1390000000.0,1808000000.0
ALPHABET INC.,CF,PaymentsToAcquireMarketableSecurities,36426000000.0,95106000000.0,60609000000.0,28462000000.0,67253000000.0,50199000000.0,136576000000.0,135196000000.0
ALPHABET INC.,CF,ProceedsFromDebtNetOfIssuanceCosts,900000000.0,13949000000.0,7599000000.0,16422000000.0,44322000000.0,29228000000.0,11761000000.0,20199000000.0
ALPHABET INC.,CF,NetProceedsPaymentsRelatedToStockBasedAwardActivities,2184000000.0,7239000000.0,4637000000.0,2916000000.0,7221000000.0,5180000000.0,5720000000.0,10162000000.0
ALPHABET INC.,CF,IncreaseDecreaseInAccountsReceivable,-2794000000.0,3276000000.0,867000000.0,-4364000000.0,-2298000000.0,-2395000000.0,6524000000.0,9095000000.0
ALPHABET INC.,CF,DepreciationAndImpairmentOnDispositionOfPropertyAndEquipment,2525000000.0,8340000000.0,5255000000.0,3591000000.0,11222000000.0,7289000000.0,12905000000.0,11555000000.0
ALPHABET INC.,CF,IncreaseDecreaseInAccruedLiabilities,-3530000000.0,2763000000.0,201000000.0,-3216000000.0,491000000.0,-1719000000.0,5504000000.0,7304000000.0
ALPHABET INC.,CF,IncreaseDecreaseInContractWithCustomerLiability,137000000.0,406000000.0,134000000.0,-94000000.0,104000000.0,-8000000.0,635000000.0,774000000.0
ALPHABET INC.,CF,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,-143000000.0,-106000000.0,40000000.0,100000000.0,-643000000.0,-268000000.0,24000000.0,-287000000.0
